title,url,partner,partner_url,course_type,description,category,image_url,duration_weeks,hours_per_week,level,rating,rating_count,enrolled_count,price,currency,start_date
How to Read a Film,https://www.futurelearn.com/courses/reading-a-film,Film Distributors' Association,https://www.futurelearn.com/partners/film-distributors-association,Course,Delve into the devices used to create meaning in film as you gain a deeper understanding of what we see on screen.,Creative Arts & Media,,5,,Introductory level,,,3432,,,
Listening Skills to Succeed at University,https://www.futurelearn.com/courses/listening-skills-to-succeed-at-university,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Improve your listening skills and learn practical strategies for effective listening at university.,Study Skills,,2,,Introductory level,,,2492,,,
Writing About Music,https://www.futurelearn.com/courses/writing-about-music,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover your unique take on music and learn to write about it clearly and confidently with the University of Leeds.,Creative Arts & Media,,4,,Introductory level,,,665,,,
GenAI in Healthcare and Life Sciences,https://www.futurelearn.com/courses/genai-in-healthcare-and-life-sciences,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Apply generative AI responsibly in clinical practice, research, patient care, and operations for improved efficiency and outcomes",Healthcare & Medicine,,4,,Intermediate level,,,,,,
Anatomy: Know Your Abdomen,https://www.futurelearn.com/courses/anatomy-know-your-abdomen,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover the human abdomen and how it works.,Healthcare & Medicine,https://ugc.futurelearn.com/uploads/images/31/6d/316d35eb-095e-4482-9453-01ce8af1f86a.jpg,2,,Introductory level,4.66547,278,151650,39.0,GBP,2026-02-16
Starting a Business 2: People and Networks,https://www.futurelearn.com/courses/starting-a-business-2,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Find out how working with people and exploring networks can help you take your business to the next level.,Business & Management,,2,,Introductory level,,,60809,,,
Starting a Business 4: Business Processes,https://www.futurelearn.com/courses/starting-a-business-4,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Understand how business works and performance can be improved so that you can take your business forward and manage growth.,Business & Management,,2,,Introductory level,,,47380,,,
Learning Online: Researching Your Project,https://www.futurelearn.com/courses/searching-and-researching,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Improve your online research skills and your ability to critically analyse sources of information.,Study Skills,https://ugc.futurelearn.com/uploads/images/08/13/08136130-e4df-47b3-9369-4b5781257e2d.jpg,2,,Introductory level,4.59756,82,78893,39.0,GBP,2026-02-16
Preparing to Learn Online at University,https://www.futurelearn.com/courses/preparing-to-learn-online-at-university,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Need advice on how to study online? Discover study techniques and skills for learning online as part of your university studies.,Study Skills,,3,,Introductory level,,,7581,,,
Food Science and Nutrition: From the Farm to You,https://www.futurelearn.com/courses/food-science-and-nutrition,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Follow food’s fascinating journey from the farm to your body and explore new food technologies and nutrition around the world.,Nature & Environment,https://ugc.futurelearn.com/uploads/images/99/f5/99f5173b-fa38-4aad-9167-941983005723.jpg,2,,Introductory level,4.38961,77,16393,39.0,GBP,2026-02-16
Interdisciplinary Learning: Working Across Disciplines,https://www.futurelearn.com/courses/interdisciplinary-learning-working-across-disciplines,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Thinking of doing an interdisciplinary degree? Learn how to study and work in an interdisciplinary environment.,Study Skills,,2,,Intermediate level,,,7397,,,
The Life and Afterlife of Mary Queen of Scots,https://www.futurelearn.com/courses/the-life-and-afterlife-of-mary-queen-of-scots,The University of Glasgow,https://www.futurelearn.com/partners/university-of-glasgow,Course,"Explore the 16th century life of Mary Queen of Scots, and her place in cultural history in the centuries that followed.",History,https://ugc.futurelearn.com/uploads/images/3f/c2/3fc2453b-c050-432d-baaa-f92166a000aa.jpg,3,,,4.79521,376,6611,79.0,GBP,2026-02-23
Planet Earth: Understanding and Protecting our Environment,https://www.futurelearn.com/courses/planet-earth,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Learn about the physical geography of Earth and discover how to use this knowledge to protect our natural environment.,Nature & Environment,,2,,,,,5854,,,
Chemical Engineering: Shaping a Sustainable Future,https://www.futurelearn.com/courses/chemical-engineering-shaping-a-sustainable-future,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Learn how chemical engineering can help to solve global challenges and explore its role in delivering sustainable development.,"Science, Engineering & Maths",,2,,Introductory level,,,4899,,,
AI-Driven Strategic HR Operations Compliance,https://www.futurelearn.com/courses/ai-driven-strategic-hr-operations-compliance,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Use AI to streamline HR operations, strengthen compliance, and support ethical, data-driven workforce decisions.",IT & Computer Science,,4,,Intermediate level,,,,,,
English Language Learners: How to Read the English News,https://www.futurelearn.com/courses/english-language-learners-how-to-read-the-english-news,National Tsing Hua University (NTHU),https://www.futurelearn.com/partners/nthu,Course,Improve your English language skills and keep up with current issues as you learn how to understand the English news.,Language,,6,,Intermediate level,,,,,,
Business Research Methods,https://www.futurelearn.com/courses/business-research-methods-i,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Learn how to develop a business research topic, and build a toolkit of quantitative and qualitative research methods.",Business & Management,,5,,Introductory level,,,2190,,,
Healthy Ageing of the Mind and Body,https://www.futurelearn.com/courses/healthy-ageing-of-the-mind-and-body,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,Embrace strategies for balanced ageing and foster intergenerational connections between young and elderly populations.,Healthcare & Medicine,,6,,Introductory level,,,381,,,
Championing Gender: Integrating Pathways to a Sustainable and Equal World,https://www.futurelearn.com/courses/championing-gender,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,Transform your perspective on gender equality and sustainability with Taipei Medical University.,Psychology & Mental Health,,6,,Introductory level,,,337,,,
Classroom Oracy in Action,https://www.futurelearn.com/courses/classroom-oracy-in-action,McGraw Hill,https://www.futurelearn.com/partners/mcgraw-hill,Course,Deepen your teaching practice by cultivating purposeful classroom talk with oracy strategies and digital tools.,Teaching,,3,,,,,,,,
Corporate Sustainability,https://www.futurelearn.com/courses/corporate-sustainability,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,Implement strategies for sustainable growth in your business to help you deliver your goods or services responsibly.,Business & Management,,6,,Introductory level,,,2512,,,
Introduction to Modern Art,https://www.futurelearn.com/courses/introduction-to-modern-art,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Trace the evolution and impact of modern art, and learn how to interpret and critique contemporary artworks.",Creative Arts & Media,,6,,Introductory level,,,1020,,,
An Introduction to Oracy in the Classroom,https://www.futurelearn.com/courses/an-introduction-to-oracy-in-the-classroom,McGraw Hill,https://www.futurelearn.com/partners/mcgraw-hill,Course,Gain practical skills in using effective classroom talk to enhance student participation and foster meaningful learning.,Teaching,,5,,,,,,,,
Talk Like a Pro: Effective Presentation Skills,https://www.futurelearn.com/courses/talk-like-a-pro-effective-presentation-skills,National Tsing Hua University (NTHU),https://www.futurelearn.com/partners/nthu,Course,"Transform technical expertise into compelling presentations for academic, conference, and professional success.",Study Skills,,6,,Introductory level,,,,,,
Shaping the Future Through Sustainable Development,https://www.futurelearn.com/courses/shaping-the-future-through-sustainable-development,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Explore ethical initiatives in education, healthcare, and water management to shape the future through sustainable development.",Politics & Society,,6,,Introductory level,,,1584,,,
"Mastering Sustainable Finance: ESG, Investments, & Corporate Strategy",https://www.futurelearn.com/courses/mastering-sustainable-finance,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,Leverage industry insights and sustainable investment strategies to generate long-term value that advances the circular economy.,Business & Management,,6,,Introductory level,,,738,,,
Business Research Methods II: Research Design and Data Collection,https://www.futurelearn.com/courses/business-research-methods-ii-research-design,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Develop core research design skills with a focus on philosophy, data types, sampling, and data collection methods.",Business & Management,,5,,Introductory level,,,,,,
Global Education for Teachers,https://www.futurelearn.com/courses/global-education-for-teachers,UCL (University College London),https://www.futurelearn.com/partners/ucl,Course,Discover key issues in global citizenship education and learn how to prepare your students for the global challenges of tomorrow.,Teaching,https://ugc.futurelearn.com/uploads/images/ed/3a/ed3abb8c-b547-46cf-b08d-ebd43a0a067b.jpg,3,,,4.76471,119,10701,39.0,GBP,2026-03-09
Building a Teaching Career: A Step-By-Step Guide,https://www.futurelearn.com/courses/building-a-teaching-career,McGraw Hill,https://www.futurelearn.com/partners/mcgraw-hill,Course,Begin your career in the education profession and enhance your teaching skills with McGraw Hill.,Teaching,,5,,,,,,,,
Designing Inclusive Communities for All Ages,https://www.futurelearn.com/courses/designing-inclusive-communities-for-all-ages,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Dive into age-friendly healthcare, community planning, and intergenerational learning with Taipei Medical University.",Healthcare & Medicine,,6,,Introductory level,,,,,,
From DNA to Cure: Gene and Gene-Modified Cell Therapies for Rare Diseases,https://www.futurelearn.com/courses/from-dna-to-cure-gene-and-gene-modified-cell-therapies-for-rare-diseases,Foundation for Rare Diseases,https://www.futurelearn.com/partners/french-foundation-rare-diseases,Course,"Discover how gene and gene-modified cell therapies transform rare disease treatment, from molecular mechanisms to clinical success",Healthcare & Medicine,,3,,Intermediate level,,,,,,
Professional Knife Skills,https://www.futurelearn.com/courses/knifeskills,International Culinary Studio,https://www.futurelearn.com/partners/international-culinary-studio,Course,Certify your chef knife skills and learn how to prepare food safely and quickly using professional knife training techniques.,Creative Arts & Media,,2,,Introductory level,,,1479,,,
A Beginner’s Guide to Basic Cooking Skills,https://www.futurelearn.com/courses/a-beginners-guide-to-basic-cooking-skills,International Culinary Studio,https://www.futurelearn.com/partners/international-culinary-studio,Course,Learn the fundamentals of cooking with an introduction to a range of methods and techniques to prepare delicious meals with ease.,Creative Arts & Media,,5,,Introductory level,,,421,,,
Food Costing for the Restaurant and Catering Industry,https://www.futurelearn.com/courses/how-to-manage-food-costing-in-the-catering-and-restaurant-industry,International Culinary Studio,https://www.futurelearn.com/partners/international-culinary-studio,Course,Develop your food costing skills and learn how to improve your food ordering systems and kitchen management.,Creative Arts & Media,,2,,,,,304,,,
"Justice, Fundamental Rights and Artificial Intelligence: The Impact of Automated Decision Making on Judicial Decision Making",https://www.futurelearn.com/courses/justice-fundamental-rights-and-artificial-intelligence,University of Groningen,https://www.futurelearn.com/partners/university-of-groningen,Course,"Examine AI's legal impact on justice, healthcare, and consumers, exploring implications for the protection of fundamental rights.",Law,,4,,Intermediate level,,,,,,
Infant Nutrition: from Breastfeeding to Baby's First Solids,https://www.futurelearn.com/courses/infant-nutrition,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,Learn what good nutrition looks like for your baby as they move from milk to family foods across their first year of life.,Healthcare & Medicine,https://ugc.futurelearn.com/uploads/images/cb/0b/cb0bb21e-ee98-424e-bb2a-49f2e957417d.jpg,2,,Introductory level,4.73864,88,50724,39.0,GBP,2026-03-16
Food Safety and Personal Hygiene in a Professional Kitchen,https://www.futurelearn.com/courses/food-safety-personal-presentation-and-hygiene-in-a-professional-kitchen,International Culinary Studio,https://www.futurelearn.com/partners/international-culinary-studio,Course,Develop processes to maintain the required standards of food safety and personal and workplace hygiene in a professional kitchen.,Creative Arts & Media,,2,,Intermediate level,,,2073,,,
Introduction to Emerging Technologies in a Professional Kitchen,https://www.futurelearn.com/courses/introduction-to-emerging-technologies-in-a-professional-kitchen,International Culinary Studio,https://www.futurelearn.com/partners/international-culinary-studio,Course,Discover how technologies can improve efficiency and control processes within professional kitchens.,Creative Arts & Media,,2,,Introductory level,,,,,,
The History of Protest in Aotearoa New Zealand,https://www.futurelearn.com/courses/mautohe-i-aotearoa-the-history-of-protest-in-new-zealand,Museum of New Zealand Te Papa Tongarewa,https://www.futurelearn.com/partners/te-papa,Course,Trace the history of protest and activism in Aotearoa New Zealand to understand New Zealand history and culture.,History,,6,,Introductory level,,,445,,,
Key Skills for Digital Forensics Essentials,https://www.futurelearn.com/courses/key-skills-for-digital-forensics-essentials,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Learn to acquire, analyse, and report digital evidence using industry-standard tools. Build skills for cyber investigations.",IT & Computer Science,,4,,Introductory level,,,,,,
Understanding Healthcare Data Security & Risk Management,https://www.futurelearn.com/courses/understanding-healthcare-data-security-risk-management,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Learn healthcare cybersecurity, HIPAA compliance, and risk strategies to protect patient data against evolving threats.",Healthcare & Medicine,,4,,Advanced level,,,,,,
