course_id,course_title,description,category,partner,is_paid,price,duration_weeks,enrollment_count,rating,level
67,From DNA to Cure: Gene and Gene-Modified Cell Therapies for Rare Diseases,"Discover how gene and gene-modified cell therapies transform rare disease treatment, from molecular mechanisms to clinical success",Healthcare & Medicine,Foundation for Rare Diseases,False,0.0,3,,,Intermediate level
68,Professional Knife Skills,Certify your chef knife skills and learn how to prepare food safely and quickly using professional knife training techniques.,Creative Arts & Media,International Culinary Studio,False,0.0,2,1479.0,,Introductory level
69,A Beginner’s Guide to Basic Cooking Skills,Learn the fundamentals of cooking with an introduction to a range of methods and techniques to prepare delicious meals with ease.,Creative Arts & Media,International Culinary Studio,False,0.0,5,421.0,,Introductory level
70,Food Costing for the Restaurant and Catering Industry,Develop your food costing skills and learn how to improve your food ordering systems and kitchen management.,Creative Arts & Media,International Culinary Studio,False,0.0,2,304.0,,
71,"Justice, Fundamental Rights and Artificial Intelligence: The Impact of Automated Decision Making on Judicial Decision Making","Examine AI's legal impact on justice, healthcare, and consumers, exploring implications for the protection of fundamental rights.",Law,University of Groningen,False,0.0,4,,,Intermediate level
72,Infant Nutrition: from Breastfeeding to Baby's First Solids,Learn what good nutrition looks like for your baby as they move from milk to family foods across their first year of life.,Healthcare & Medicine,Deakin University,True,39.0,2,50724.0,4.73864,Introductory level
73,Food Safety and Personal Hygiene in a Professional Kitchen,Develop processes to maintain the required standards of food safety and personal and workplace hygiene in a professional kitchen.,Creative Arts & Media,International Culinary Studio,False,0.0,2,2073.0,,Intermediate level
74,Introduction to Emerging Technologies in a Professional Kitchen,Discover how technologies can improve efficiency and control processes within professional kitchens.,Creative Arts & Media,International Culinary Studio,False,0.0,2,,,Introductory level
75,The History of Protest in Aotearoa New Zealand,Trace the history of protest and activism in Aotearoa New Zealand to understand New Zealand history and culture.,History,Museum of New Zealand Te Papa Tongarewa,False,0.0,6,445.0,,Introductory level
76,Key Skills for Digital Forensics Essentials,"Learn to acquire, analyse, and report digital evidence using industry-standard tools. Build skills for cyber investigations.",IT & Computer Science,Starweaver,False,0.0,4,,,Introductory level
77,Understanding Healthcare Data Security & Risk Management,"Learn healthcare cybersecurity, HIPAA compliance, and risk strategies to protect patient data against evolving threats.",Healthcare & Medicine,Starweaver,False,0.0,4,,,Advanced level
78,Understanding and Responding to Children who Run Away from Home and Institutions,Examine your understanding of runaways and formulate effective responses for better intervention and prevention.,Psychology & Mental Health,Missing Children Europe,False,0.0,4,1057.0,,
79,Plants to Products: An introduction to Biorefining,"Learn how plants and other biomass can be turned into fuels, plastics, and other sustainable products.",Nature & Environment,Aberystwyth University,False,0.0,4,,,Introductory level
80,LISTEN: Supporting emotional wellbeing in diabetes care,"Enhance your skills in emotional wellbeing, therapeutic communication, and PST for diabetes care.",Healthcare & Medicine,Deakin University,False,0.0,4,,,
81,Key Skills for Application Security Testing and Debugging,"Build practical application security skills using industry-standard testing tools, debugging techniques and professional reporting",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
82,Introduction to HACCP for Food Safety,Build your knowledge of HACCP standards and implement a Food Safety Management System to keep your customers safe.,Business & Management,International Culinary Studio,False,0.0,2,1089.0,,Introductory level
83,Introduction to Menu Engineering,"Discover how to maximise your profits by engineering a fully optimised, revenue-boosting menu.",Business & Management,International Culinary Studio,False,0.0,2,,,Introductory level
84,Develop and Launch A Food Product,"Gain the skills to research, design, and market a food product and develop your own successful business opportunity.",Creative Arts & Media,International Culinary Studio,False,0.0,5,350.0,,Introductory level
85,Electric Two-and-Three-Wheelers: Steering the Mobility Revolution,Join this six-week course to explore the surging popularity of electric two-and-three-wheelers across the globe.,Nature & Environment,Transformative Urban Mobility Initiative (TUMI),False,0.0,6,360.0,,Intermediate level
86,Core Principles of Threat Hunting Techniques,"Learn to hunt threats proactively using data science, machine learning, Splunk, and Jupyter notebooks. Go beyond basic alerts.",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
87,Mini Medical School: Introduction to Medical Science,Discover the science underpinning modern medical practice today and how to maintain and promote good physical and mental health.,Healthcare & Medicine,University of Colorado,False,0.0,3,,,
88,Introduction to Nutritional Psychiatry: Nutri-Psyche,Grow your understanding of the links between diet and mental health and explore strategies to use nutrition in treatment plans.,Psychology & Mental Health,Deakin University,False,0.0,3,,,
89,Introduction to Babysitting Essentials,"Develop essential skills for safe, confident babysitting with children of all ages. Build your professional childcare toolkit.",Healthcare & Medicine,Norland,False,0.0,4,,,
90,Mini Medical School: Hot Topics in Medical Science,"Learn about cutting-edge medical science topics, separate fact from fiction, and empower yourself to look after your own health.",Healthcare & Medicine,University of Colorado,False,0.0,4,,,
91,Vehículos eléctricos de dos y tres ruedas: La revolución de la movilidad,Participe en este curso de 6 semanas y explore la popularidad global de los vehículos eléctricos de 2 y 3 ruedas.,Nature & Environment,Transformative Urban Mobility Initiative (TUMI),False,0.0,6,,,Intermediate level
92,"Bioinformatics for Biologists: An Introduction to Linux, Bash Scripting, and R",Get familiar with Linux and its command line in order to access the full range of bioinformatics tools available to researchers.,Healthcare & Medicine,Wellcome Connecting Science,True,0.0,3,,4.83333,
93,Exploring Law: Studying Law at University,"Is law right for you? Learn the basics, explore key questions in depth, and hear from students and inspirational legal figures.",Law,University of Cambridge,True,99.0,6,14751.0,4.88158,Introductory level
94,Lifestyle Medicine for Mental Health Services: Life and Mind,Learn how to prevent and manage mental illness with practical frameworks to use in services that provide mental health care.,Healthcare & Medicine,Deakin University,False,0.0,3,,,
95,Introduction to Norwegian,"Start learning Norwegian today. Learn to speak, write and understand basic Norwegian with this four-week course.",Language,University of Oslo,True,59.0,4,113454.0,4.82011,Introductory level
96,Integrating Food and Energy Production on Farmland,"Discover how farms can produce food and clean energy together. Explore agrivoltaics, biogas, and sustainable farming practices.",Nature & Environment,University of Reading,False,0.0,2,,,
97,Innovative Teaching: Engaging Adult Learners with Active Learning,"Discover the power of active participation in adult learning, encouraging teamwork and collaboration among students.",Teaching,University of Padova,False,0.0,4,,,
98,Critical Approaches to Film,Explore how film criticism shapes what we watch on this online course from the Film Distributors' Association.,Creative Arts & Media,Film Distributors' Association,False,0.0,4,509.0,,Introductory level
99,Essentials of Securing Cloud Operations,"Master practical cloud security skills across AWS, Azure, and GCP. Learn to secure cloud operations and maintain compliance.",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
100,Food and Mood: Improving Mental Health Through Diet and Nutrition,"Explore the relationship between nutrition and brain health, why it matters, and how to work towards positive food changes.",Healthcare & Medicine,Deakin University,True,79.0,3,94053.0,4.63033,
101,Protecting Wellbeing When Exposed to Distressing Topics or Content,"Learn how to recognise, manage, and protect your wellbeing when exposed to distressing content at work.",Psychology & Mental Health,University of Birmingham,False,0.0,3,,,
102,Essentials of Incident Response Frameworks,Learn practical incident response skills and create a robust cyber incident response plan.,Business & Management,Starweaver,False,0.0,4,,,Intermediate level
